Time;Object Name;Status;Value;;;;
9:14:40;TIC Gauge 3;5;9,90E+09;9:12:26;0:02:14;134;
9:14:42;TIC Turbo Speed;;1,6;9:12:26;0:02:16;136;
9:14:42;TIC Turbo Power;;6,1;9:12:26;0:02:16;136;
9:14:42;TIC Gauge 1;11;1,00E+05;9:12:26;0:02:16;136;
9:14:42;TIC Gauge 2;5;9,90E+09;9:12:26;0:02:16;136;
9:14:42;TIC Gauge 3;5;9,90E+09;9:12:26;0:02:16;136;
9:14:44;TIC Turbo Power;;8;9:12:26;0:02:18;138;
9:14:44;TIC Turbo Speed;;1,6;9:12:26;0:02:18;138;
9:14:44;TIC Gauge 1;11;1,00E+05;9:12:26;0:02:18;138;
9:14:44;TIC Gauge 2;5;9,90E+09;9:12:26;0:02:18;138;
9:14:44;TIC Gauge 3;5;9,90E+09;9:12:26;0:02:18;138;
9:14:46;TIC Gauge 2;5;9,90E+09;9:12:26;0:02:20;140;
9:14:46;TIC Turbo Speed;;1,6;9:12:26;0:02:20;140;
9:14:46;TIC Turbo Power;;8,4;9:12:26;0:02:20;140;
9:14:46;TIC Gauge 3;5;9,90E+09;9:12:26;0:02:20;140;
9:14:46;TIC Gauge 1;11;1,00E+05;9:12:26;0:02:20;140;
9:14:48;TIC Gauge 1;11;1,00E+05;9:12:26;0:02:22;142;
9:14:48;TIC Turbo Speed;;1,6;9:12:26;0:02:22;142;
9:14:48;TIC Turbo Power;;7;9:12:26;0:02:22;142;
9:14:48;TIC Gauge 2;5;9,90E+09;9:12:26;0:02:22;142;
9:14:48;TIC Gauge 3;5;9,90E+09;9:12:26;0:02:22;142;
9:14:50;TIC Turbo Speed;;1,6;9:12:26;0:02:24;144;
9:14:50;TIC Turbo Power;;6,8;9:12:26;0:02:24;144;
9:14:50;TIC Gauge 1;11;1,00E+05;9:12:26;0:02:24;144;
9:14:50;TIC Gauge 2;5;9,90E+09;9:12:26;0:02:24;144;
9:14:51;TIC Gauge 3;5;9,90E+09;9:12:26;0:02:25;145;
9:14:52;TIC Turbo Speed;;1,6;9:12:26;0:02:26;146;
9:14:52;TIC Turbo Power;;8,4;9:12:26;0:02:26;146;
9:14:52;TIC Gauge 1;11;1,00E+05;9:12:26;0:02:26;146;
9:14:52;TIC Gauge 2;5;9,90E+09;9:12:26;0:02:26;146;
9:14:53;TIC Gauge 3;5;9,90E+09;9:12:26;0:02:27;147;
9:14:54;TIC Gauge 3;5;9,90E+09;9:12:26;0:02:28;148;
